sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Mw,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,DA_strategy,cross_class,poly_tem,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
DAG-PU-1,0.6651,0,0.3349,1.3333,0,2,0,0,0,1000,0.5,0.3325,0,0,1,60,100,24,50,19.5,1039.7,90
DAG-PU-2,0.6353,0,0.3647,1.3846,0,2,0,0,0,1000,0.5,0.3177,0,0,1,60,100,24,50,28.6,717.3,90
DAG-PU-3,0.6082,0,0.3918,1.4286,0,2,0,0,0,1000,0.5,0.3041,0,0,1,80,100,24,50,45,567.3,91
5%Cu-BQDU-CPU,0.5389,0,0.4249,1,0.0002,2,0,0,0,1000,0.5,0.2694,0,0,1,60,130,48,50,40.6,1584.6,83.9
DAG-LPU-3,0.7487,0,0.2513,1,0,2,0,0,0,1000,0.5,0.3743,0,0,1,60,75,24,50,15.7,738.7,89
DAG-LPU-2,0.701,0,0.299,1,0,2,0,0,0,1000,0.5,0.3505,0,1,1,60,75,24,50,26.3,701.5,99
DAG-LPU-1,0.6399,0,0.3601,1,0,2,0,0,0,1000,0.5,0.32,0,1,1,60,75,24,50,40.3,531.9,87
SPU1,0.488,0.08,0.512,0.9677,0.08,2,0,0,0,1000,0.5,0.244,0,1,1,60,60,6,50,24.3,1109.3,87.6
SPU2,0.4796,0.0958,0.5204,0.9375,0.0958,2,0,0,0,1000,0.5,0.2398,0,1,1,60,60,6,50,28.1,812.8,
SPU3,0.4715,0.1111,0.5285,0.9091,0.1111,2,0,0,0,1000,0.5,0.2358,0,1,1,60,60,6,50,34.1,6.31,
SPU4,0.4637,0.1259,0.5363,0.8824,0.1259,2,0,0,0,1000,0.5,0.2318,0,1,1,60,60,6,50,38.1,628.7,
SPU5,0.4561,0.1402,0.5439,0.8571,0.1402,2,0,0,0,1000,0.5,0.2281,0,1,1,100,60,6,50,39.2,560.1,
DA-DPU-PCL2000,0.6117,0.1488,0.3883,0.75,0.1488,2,0,1,0.5,2000,1,0.6117,0,1,1,100,,2,50,15,1000,
TCPUA-O,0.5847,0.1736,0.4153,0.5926,0.0001,3.6338,1,1,0,1000,0.5,0.2924,0.2924,1,0,100,,,50,19,664.36,
TCPUA-A,0.5912,0.1639,0.4088,0.6,0.0002,2.9034,1,1,0,1000,0.5,0.2956,0.2956,1,0,100,,,50,20.01,489.6,
TCPUA-B,0.4836,0.2682,0.5164,0.5,0,3.7052,1,1,0,1000,0.5,0.2418,0.2418,1,0,100,,,50,38.77,355.31,
TCPUA-B-20%,0.387,0.2146,0.4133,0.5,0,3.7052,1,1,0,1000,0.5,0.1935,0.1935,1,0,100,,,50,33.75,436.44,
TCPUA-C,0.4776,0.2649,0.5224,0.5,0.0001,3.1579,1,1,0,1000,0.5,0.2388,0.2388,1,0,100,,,50,17.67,264.34,
TCPUA-E,0.4048,0.3367,0.5952,0.4545,0,3.7629,1,1,0,1000,0.5,0.2024,0.2024,1,0,100,,,50,25.46,142.45,
TCPUA-E-5%,0.3846,0.3199,0.5655,0.4545,0,3.7629,1,1,0,1000,0.5,0.1923,0.1923,1,0,100,,,50,35.32,213.99,
TCPUA-E-10%,0.3642,0.3029,0.5355,0.4545,0,3.7629,1,1,0,1000,0.5,0.1821,0.1821,1,0,100,,,50,30.62,181.63,
TCPUA-E-15%,0.3442,0.2863,0.506,0.4545,0,3.7629,1,1,0,1000,0.5,0.1721,0.1721,1,0,100,,,50,30.89,142.78,
TCPUA-E-20%,0.3238,0.2693,0.4761,0.4545,0,3.7629,1,1,0,1000,0.5,0.1619,0.1619,1,0,100,,,50,28.04,132.68,
DA-PU,0.7203,0.0995,0.2797,0.8,0.0995,4,1,0,0.5,2000,1,0.7203,0.7203,1,1,80,,7,50,33.7,500,
DA-PU-PTMG1000,0.5336,0.1993,0.4664,0.5714,0,4,1,0,0,1000,0.5,0.2668,0.2668,1,0,60,120,3,50,25.1,565,85
DA-PU-PTMG-1400,0.6157,0.1642,0.3843,0.5714,0,4,1,0,0.2,1400,0.5,0.3078,0.3078,1,0,60,120,3,50,22.3,641,70
DA-PU-PTMG-2000,0.6959,0.1299,0.3041,0.5714,0,4,1,0,0.5,2000,1,0.6959,0.6959,1,0,60,120,3,50,13.3,775,64
TDI-PUR-DA1,0.6894,0.1905,0.3106,0.5,0,3,0,0,0.5,2000,0,0,0,1,0,60,80,24,25,5.28,339,62
