sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Polyol_Type,Polyol_Mw_Score,DA_strategy,poly_tem,cross_class,healing_temperature,healing_time,strain_rate,tensile_strength,elongation,healing_eff
DAG-PU-1,0.67,0.0,0.33,1.33,0.0,2.0,0.0,0.0,0.0,60.0,0.0,100.0,24.0,0.0,19.5,1039.7,0.0
DAG-PU-2,0.64,0.0,0.36,1.38,0.0,2.0,0.0,0.0,0.0,60.0,0.0,100.0,24.0,0.0,28.6,717.3,0.0
DAG-PU-3,0.61,0.0,0.39,1.43,0.0,2.0,0.0,0.0,0.0,80.0,0.0,100.0,24.0,0.0,45.0,567.3,0.0
BQDU-CPU,0.56,0.0,0.44,1.0,0.000246,2.0,0.0,0.0,0.0,80.0,0.0,130.0,48.0,0.0,22.9,1033.1,0.0
5%Cu-BQDU-CPU,0.56,0.0,0.44,1.0,0.000246,2.0,0.0,0.0,0.0,60.0,0.0,130.0,48.0,0.0,40.6,1584.6,0.0
DAG-LPU-3,0.75,0.0,0.25,1.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,75.0,24.0,0.0,15.7,738.7,0.0
DAG-LPU-2,0.7,0.0,0.3,1.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,75.0,24.0,0.0,26.3,701.5,0.0
DAG-LPU-1,0.64,0.0,0.36,1.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,75.0,24.0,0.0,40.3,531.9,0.0
SPU1,0.49,0.08,0.51,0.95,4.9e-05,2.0,0.0,0.0,1.0,60.0,0.0,60.0,6.0,0.0,24.3,1109.3,87.6
SPU2,0.48,0.1,0.52,0.91,9.6e-05,2.0,0.0,0.0,1.0,60.0,0.0,60.0,6.0,0.0,28.1,812.8,
SPU3,0.47,0.11,0.53,0.87,0.000141,2.0,0.0,0.0,1.0,60.0,0.0,60.0,6.0,0.0,34.1,631.0,
SPU4,0.46,0.13,0.54,0.83,0.000185,2.0,0.0,0.0,1.0,60.0,0.0,60.0,6.0,0.0,38.1,628.7,
SPU5,0.46,0.14,0.54,0.8,0.000228,2.0,0.0,0.0,1.0,100.0,0.0,60.0,6.0,0.0,39.2,560.1,
DA-DPU-PCL2000,0.61,0.15,0.39,0.67,0.000306,2.0,1.0,1.0,1.0,100.0,0.0,60.0,6.0,0.0,15.0,1000.0,
TCPUA-O,0.58,0.17,0.42,0.54,0.000351,3.63,1.0,0.0,1.0,100.0,0.0,60.0,6.0,0.0,19.0,664.36,
TCPUA-A,0.59,0.16,0.41,0.55,0.000473,2.9,1.0,0.0,1.0,100.0,0.0,60.0,6.0,0.0,20.01,489.6,
TCPUA-B,0.48,0.27,0.52,0.44,0.000532,3.71,1.0,0.0,1.0,100.0,0.0,60.0,6.0,0.0,38.77,355.31,
TCPUA-B-20%,0.48,0.27,0.52,0.44,0.000532,3.71,1.0,0.0,1.0,100.0,0.0,60.0,6.0,0.0,33.75,436.44,
