sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,Soft_Mw,Constraint_Factor,DA_KA,DA_KC,Has_Non_DA_Extender,cross_class,tensile_strength,elongation,healing_eff
DAG-PU-1,0.6651,0.0,0.3349,1.3333,0.0,2.0,0.0,0.0,0.0,1.0,0.6651,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,19.5,1039.7,0.9
DAG-PU-2,0.6353,0.0,0.3647,1.3846,0.0,2.0,0.0,0.0,0.0,1.0,0.6353,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,28.6,717.3,0.9
DAG-PU-3,0.6082,0.0,0.3918,1.4286,0.0,2.0,0.0,0.0,0.0,1.0,0.6082,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,45.0,567.3,0.91
BQDU-CPU,0.5592,0.0,0.4408,1.0,0.0002,2.0,0.0,0.0,0.0,1.0,0.5592,0.0,1000.0,0.0004,0.0,0.0,0.0,1.0,22.9,1033.1,0.435
5%Cu-BQDU-CPU,0.5389,0.0,0.4611,0.8418,0.0002,2.0,0.0,0.0,0.0,1.0,0.5389,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,40.6,1584.6,0.839
DAG-LPU-3,0.7487,0.0,0.2513,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7487,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,15.7,738.7,0.89
DAG-LPU-2,0.701,0.0,0.299,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.701,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,26.3,701.5,0.99
DAG-LPU-1,0.6399,0.0,0.3601,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.6399,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,40.3,531.9,0.87
SPU1,0.488,0.08,0.512,0.9677,0.0,2.0,0.0,0.0,0.0,1.0,0.488,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,24.3,1109.3,87.6
SPU2,0.4796,0.0958,0.5204,0.9375,0.0,2.0,0.0,0.0,0.0,1.0,0.4796,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,28.1,812.8,
SPU3,0.4715,0.1111,0.5285,0.9091,0.0,2.0,0.0,0.0,0.0,1.0,0.4715,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,34.1,6.31,
SPU4,0.4637,0.1259,0.5363,0.8824,0.0,2.0,0.0,0.0,0.0,1.0,0.4637,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,38.1,628.7,
SPU5,0.4561,0.1402,0.5439,0.8571,0.0,2.0,0.0,0.0,0.0,1.0,0.4561,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,39.2,560.1,
DA-DPU-PCL2000,0.6117,0.1488,0.3883,0.75,0.0,2.0,0.0,1.0,0.5,1.0,0.6117,0.0,2000.0,0.0002,0.0,0.0,0.0,1.0,15.0,1000.0,
