X1_Soft_Content,X2_DA_Content,X3_Hard_Content,X4_R_Ratio,X5_Add_Crosslink,DA_Linker_Type,Network_Topology,Polyol_Class,Iso_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,Recipe_Name,healing_temperature,healing_time,Pred_Strength,Pred_Elongation,Pred_Healing
0.56,0.05,0.37,1.1,0.02,2,0,0,1,2000,0.0002,1,1,0.56,PTMG2000_MDI_KC(Main)_X1=0.56_X2=0.05,60,24,34.9826444274339,814.5552,64.83005508139662
0.455,0.05,0.495,1.05,0.0,2,0,0,1,2000,0.0002,0,0,0.0,PPG2000_TDI_KC(Main)_X1=0.45_X2=0.05,60,24,34.96654163443756,492.9866,64.43786177902341
0.455,0.05,0.495,1.1,0.0,2,0,0,1,2000,0.0002,0,0,0.0,PPG2000_TDI_KC(Main)_X1=0.45_X2=0.05,60,24,34.59407557608013,492.9866,64.60044703667465
0.6125,0.1,0.2875,1.0,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,34.57496238760611,732.3359,63.27240096943683
0.6125,0.1,0.2875,1.0,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,34.57496238760611,732.3359,63.27240096943683
0.665,0.05,0.285,0.95,0.0,2,0,0,1,2000,0.0001,1,1,0.665,PTMG2000_MDI_KC(Main)_X1=0.67_X2=0.05,60,24,34.16435244394442,831.0397,57.803891607319
0.6125,0.15,0.2375,0.95,0.0,2,0,0,1,2000,0.0001,1,1,0.6125,PTMG2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,34.12908106566234,712.4605,62.05342386226458
0.6125,0.1,0.2875,1.05,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,34.11947961355004,732.3359,63.463832655927156
0.6125,0.1,0.2875,1.05,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,34.11947961355004,732.3359,63.463832655927156
0.665,0.05,0.285,1.0,0.0,2,0,0,1,2000,0.0001,1,1,0.665,PTMG2000_MDI_KC(Main)_X1=0.67_X2=0.05,60,24,33.801155500054506,835.0221,58.04618969462683
0.6125,0.15,0.2375,1.0,0.0,2,0,0,1,2000,0.0001,1,1,0.6125,PTMG2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,33.77530851292556,717.57513,62.288577885398745
0.6125,0.1,0.2875,1.1,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,33.65415007210906,732.3359,63.64660987020928
0.6125,0.1,0.2875,1.1,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.10,60,24,33.65415007210906,732.3359,63.64660987020928
0.665,0.05,0.285,1.05,0.0,2,0,0,1,2000,0.0001,1,1,0.665,PTMG2000_MDI_KC(Main)_X1=0.67_X2=0.05,60,24,33.42675477988583,835.0221,58.28294757270977
0.6125,0.15,0.2375,1.05,0.0,2,0,0,1,2000,0.0001,1,1,0.6125,PTMG2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,33.41023473795826,717.57513,62.516704624275896
0.665,0.05,0.285,1.1,0.0,2,0,0,1,2000,0.0001,1,1,0.665,PTMG2000_MDI_KC(Main)_X1=0.67_X2=0.05,60,24,33.0420282768967,835.0221,58.513421615777084
0.6125,0.15,0.2375,1.1,0.0,2,0,0,1,2000,0.0001,1,1,0.6125,PTMG2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,33.03471569186108,717.57513,62.73705198801013
0.6125,0.15,0.2375,0.95,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,32.77464452124829,722.87335,63.83037648138591
0.6125,0.15,0.2375,0.95,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,32.77464452124829,722.87335,63.83037648138591
0.6125,0.15,0.2375,1.0,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,32.34470297487147,727.988,64.03073944112364
0.6125,0.15,0.2375,1.0,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,32.34470297487147,727.988,64.03073944112364
0.56,0.15,0.27,0.95,0.02,2,0,0,1,2000,0.0001,1,1,0.56,PTMG2000_MDI_KC(Main)_X1=0.56_X2=0.15,60,24,32.08640634746615,799.44073,64.76764339657511
0.6125,0.05,0.3175,0.95,0.02,2,0,0,1,2000,0.0002,1,1,0.6125,PTMG2000_MDI_KC(Main)_X1=0.61_X2=0.05,60,24,31.999202062960816,725.0693,61.85324704233775
0.6125,0.15,0.2375,1.05,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PCL2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,31.905527612919986,727.988,64.22294473747462
0.6125,0.15,0.2375,1.05,0.0,2,0,1,1,2000,0.0001,1,1,0.6125,PBA2000_MDI_KC(Main)_X1=0.61_X2=0.15,60,24,31.905527612919986,727.988,64.22294473747462
