X1_Soft_Content,X2_DA_Content,X3_Hard_Content,X4_R_Ratio,X5_Add_Crosslink,DA_Linker_Type,Network_Topology,Polyol_Class,Iso_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,Recipe_Name,healing_temperature,healing_time,Pred_Strength,Pred_Elongation,Pred_Healing
0.4025,0.4,0.1775,1.0,0.02,2,1,0,0,1000,0.0002,0,1,0.0,PTMG1000_IPDI_KC(Side)_X1=0.40_X2=0.40,60,24,12.255268504836032,281.14694,94.99774419309945
0.35,0.35,0.28,1.05,0.02,2,1,0,0,1000,0.0003,0,1,0.0,PTMG1000_IPDI_KC(Side)_X1=0.35_X2=0.35,60,24,17.54590445388527,209.20526,94.99581262677108
0.5075,0.2,0.2925,1.1,0.0,1,1,0,0,1000,0.0003,1,0,0.0,PPG1000_HDI_KA(Side)_X1=0.51_X2=0.20,60,24,6.028898398593043,421.01825,94.99395204759293
0.455,0.3,0.225,1.05,0.02,1,1,0,0,1000,0.0002,0,0,0.0,PPG1000_IPDI_KA(Side)_X1=0.45_X2=0.30,60,24,6.643178782704334,176.44962,94.98454926671582
0.455,0.25,0.295,1.0,0.0,1,0,0,0,1000,0.0003,0,1,0.0,PTMG1000_IPDI_KA(Main)_X1=0.45_X2=0.25,60,24,18.98349680243222,253.87286,94.98194339869826
0.4025,0.35,0.2275,1.0,0.02,2,1,0,0,1000,0.0002,0,1,0.0,PTMG1000_IPDI_KC(Side)_X1=0.40_X2=0.35,60,24,14.503906999131715,203.33675,94.9814953516447
0.4025,0.3,0.2775,1.0,0.02,2,1,1,0,1000,0.0003,0,1,0.0,PCL1000_IPDI_KC(Side)_X1=0.40_X2=0.30,60,24,16.97251619588166,211.70876,94.97857061256636
0.4025,0.3,0.2775,1.0,0.02,2,1,1,0,1000,0.0003,0,1,0.0,PBA1000_IPDI_KC(Side)_X1=0.40_X2=0.30,60,24,16.97251619588166,211.70876,94.97857061256636
0.4025,0.3,0.2775,0.95,0.02,1,1,0,0,1000,0.0003,0,0,0.0,PPG1000_IPDI_KA(Side)_X1=0.40_X2=0.30,60,24,10.736169613288407,205.55856,94.97822118720431
0.4025,0.25,0.3475,1.0,0.0,1,1,0,0,1000,0.0003,1,0,0.0,PPG1000_HDI_KA(Side)_X1=0.40_X2=0.25,60,24,11.97838858024588,233.70544,94.97771442879167
0.5075,0.3,0.1925,1.1,0.0,1,0,0,0,1000,0.0002,0,1,0.0,PTMG1000_IPDI_KA(Main)_X1=0.51_X2=0.30,60,24,8.786494936101356,288.30045,94.97503945217538
0.35,0.4,0.25,1.0,0.0,2,1,0,0,1000,0.0002,0,1,0.0,PTMG1000_IPDI_KC(Side)_X1=0.35_X2=0.40,60,24,16.125553858586805,269.4164,94.97480820180611
0.455,0.2,0.325,0.95,0.02,1,1,1,0,1000,0.0003,1,1,0.455,PBA1000_HDI_KA(Side)_X1=0.45_X2=0.20,60,24,18.898633802374178,472.64368,94.97264831648428
0.455,0.2,0.325,0.95,0.02,1,1,1,0,1000,0.0003,1,1,0.455,PCL1000_HDI_KA(Side)_X1=0.45_X2=0.20,60,24,18.898633802374178,472.64368,94.97264831648428
0.665,0.05,0.285,1.05,0.0,1,1,0,0,1000,0.0003,0,1,0.0,PTMG1000_IPDI_KA(Side)_X1=0.67_X2=0.05,60,24,16.079751670258176,850.37897,94.970613407954
0.665,0.05,0.265,1.05,0.02,1,1,1,0,1000,0.0003,0,1,0.0,PBA1000_IPDI_KA(Side)_X1=0.67_X2=0.05,60,24,13.021944498738787,853.5493,94.97042822259266
0.665,0.05,0.265,1.05,0.02,1,1,1,0,1000,0.0003,0,1,0.0,PCL1000_IPDI_KA(Side)_X1=0.67_X2=0.05,60,24,13.021944498738787,853.5493,94.97042822259266
0.455,0.4,0.145,1.1,0.0,1,1,1,0,1000,0.0001,1,1,0.455,PBA1000_HDI_KA(Side)_X1=0.45_X2=0.40,60,24,8.406943791030923,310.04462,94.97021792020736
0.455,0.4,0.145,1.1,0.0,1,1,1,0,1000,0.0001,1,1,0.455,PCL1000_HDI_KA(Side)_X1=0.45_X2=0.40,60,24,8.406943791030923,310.04462,94.97021792020736
0.455,0.3,0.225,1.1,0.02,2,1,1,0,1000,0.0002,0,1,0.0,PBA1000_IPDI_KC(Side)_X1=0.45_X2=0.30,60,24,13.59657794115817,199.43706,94.96696085226625
0.455,0.3,0.225,1.1,0.02,2,1,1,0,1000,0.0002,0,1,0.0,PCL1000_IPDI_KC(Side)_X1=0.45_X2=0.30,60,24,13.59657794115817,199.43706,94.96696085226625
0.56,0.2,0.24,1.0,0.0,1,1,0,1,1000,0.0002,0,1,0.0,PTMG1000_TDI_KA(Side)_X1=0.56_X2=0.20,60,24,16.30659626546299,506.88617,94.96016032356974
0.665,0.05,0.285,1.1,0.0,1,1,1,0,1000,0.0003,0,1,0.0,PCL1000_IPDI_KA(Side)_X1=0.67_X2=0.05,60,24,13.388880363493431,855.87555,94.95911243751543
0.665,0.05,0.285,1.1,0.0,1,1,1,0,1000,0.0003,0,1,0.0,PBA1000_IPDI_KA(Side)_X1=0.67_X2=0.05,60,24,13.388880363493431,855.87555,94.95911243751543
0.35,0.35,0.3,1.0,0.0,2,1,1,0,1000,0.0003,0,1,0.0,PBA1000_IPDI_KC(Side)_X1=0.35_X2=0.35,60,24,19.503654698627408,206.45763,94.95465712682513
