sample_id,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Extra_Crosslinker_Content,Furan_Type,Network_Topology,Add_Crosslinker_Flag,Polyol_Class,Iso_Class,Extender_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,poly_tem,strain_rate,healing_temperature,healing_time,tensile_strength,elongation,healing_eff
DAG-PU-1,0.6651,0.0,0.0,0.3349,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0003,0.0,1.0,0.0,60.0,0.0,100.0,24.0,19.5,1039.7,90.0
DAG-PU-2,0.6353,0.0,0.0,0.3647,1.3846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,60.0,0.0,100.0,24.0,28.6,717.3,90.0
DAG-PU-3,0.6082,0.0,0.0,0.3918,1.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,80.0,0.0,100.0,24.0,45.0,567.3,91.0
BQDU-CPU,0.5592,0.0,0.0,0.4078,1.0,0.033,0.0,0.0,1.0,0.0,0.0,1.0,1000.0,0.0004,0.0,1.0,0.0,80.0,0.0,130.0,48.0,22.9,1033.1,43.5
DAG-LPU-3,0.7487,0.0,0.0,0.2513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0003,0.0,1.0,0.0,60.0,0.0,75.0,24.0,15.7,738.7,89.0
DAG-LPU-2,0.701,0.0,0.0,0.299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0003,0.0,1.0,0.0,60.0,0.0,75.0,24.0,26.3,701.5,99.0
DAG-LPU-1,0.6399,0.0,0.0,0.3601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,60.0,0.0,75.0,24.0,40.3,531.9,87.0
SPU1,0.488,0.0625,0.0175,0.432,0.9677,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,60.0,0.0,60.0,6.0,24.3,1109.3,87.6
SPU2,0.4796,0.0615,0.0344,0.4245,0.9375,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,60.0,0.0,60.0,6.0,28.1,812.8,
SPU4,0.4637,0.0594,0.0665,0.4104,0.8824,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,60.0,0.0,60.0,6.0,38.1,628.7,
SPU5,0.4561,0.0584,0.0817,0.4037,0.8571,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0004,0.0,1.0,0.0,100.0,0.0,60.0,6.0,39.2,560.1,
DA-DPU-PCL2000,0.6117,0.0392,0.1096,0.2395,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2000.0,0.0001,0.0,1.0,0.0,100.0,0.0,0.0,2.0,15.0,1000.0,
TCPUA-O,0.5847,0.0688,0.1048,0.2417,0.5926,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0002,1.0,1.0,0.5847,100.0,0.0,0.0,0.0,19.0,664.36,
TCPUA-A,0.5912,0.058,0.1059,0.2448,0.6,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0002,1.0,1.0,0.5912,100.0,0.0,0.0,0.0,20.01,489.6,
TCPUA-B,0.4836,0.0949,0.1733,0.2483,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0002,1.0,1.0,0.4836,100.0,0.0,0.0,0.0,38.77,355.31,
TCPUA-B-20%,0.387,0.0759,0.1387,0.3985,0.321,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0004,1.0,1.0,0.387,0.0,0.0,0.0,0.0,33.75,436.44,
TCPUA-C,0.4776,0.0937,0.1711,0.2576,0.5,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.4776,100.0,0.0,0.0,0.0,17.67,264.34,
TCPUA-E,0.4048,0.1191,0.2176,0.2585,0.4545,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.4048,100.0,0.0,0.0,0.0,25.46,142.45,
TCPUA-E-5%,0.3846,0.1132,0.2067,0.2955,0.4125,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.3846,100.0,0.0,0.0,0.0,35.32,213.99,
TCPUA-E-10%,0.3642,0.1072,0.1958,0.3329,0.3737,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.3642,100.0,0.0,0.0,0.0,30.62,181.63,
TCPUA-E-15%,0.3442,0.1013,0.185,0.3696,0.3388,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0004,1.0,1.0,0.3442,0.0,0.0,0.0,0.0,30.89,142.78,
TCPUA-E-20%,0.3238,0.0953,0.174,0.4069,0.306,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1000.0,0.0004,1.0,1.0,0.3238,100.0,0.0,0.0,0.0,28.04,132.68,
DA-PU,0.7203,0.035,0.0645,0.1802,0.8,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.7203,80.0,0.0,0.0,7.0,33.7,500.0,
DA-PU-PTMG1000,0.5336,0.1037,0.0956,0.2671,0.5714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1000.0,0.0003,1.0,1.0,0.5336,60.0,50.0,120.0,3.0,25.1,565.0,85.0
DA-PU-PTMG-1400,0.6157,0.0854,0.0788,0.2201,0.5714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1400.0,0.0002,1.0,1.0,0.6157,60.0,50.0,120.0,3.0,22.3,641.0,70.0
DA-PU-PTMG-2000,0.6959,0.0676,0.0623,0.1742,0.5714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,1.0,1.0,0.6959,60.0,50.0,120.0,3.0,13.3,775.0,64.0
TDI-PUR-DA1,0.6894,0.067,0.1235,0.1201,0.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,5.28,339.0,62.0
TDI-PUR-DA2,0.7114,0.0691,0.0956,0.1239,0.5333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,3.65,345.0,58.0
TDI-PUR-DA3,0.7348,0.0714,0.0658,0.128,0.5714,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,1.96,352.0,54.0
TDI-PUR-DA4,0.7598,0.0738,0.034,0.1323,0.6154,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,0.91,358.0,53.0
IPDI-PUA-DA1,0.6673,0.0648,0.1196,0.1483,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,0.0,60.0,25.0,80.0,24.0,4.68,392.0,71.0
