Candidate_ID,Recipe_Name,Soft_Family,Soft_Segment,Hard_Segment,DA_Type,Topology,Hard_Bin,Soft_Segment_Content,Furan_Content,Maleimide_Content,Hard_Segment_Content,NCO_OH_Ratio,Pred_Strength,Pred_Elongation,Pred_Healing,Total_Score,Synthesis_Note
R01,PCL1000-HDI-KA(Main),PCL,PCL1000,HDI,KA,Main,High Hard,0.58,0.048,0.072,0.3,1.0,16.13,728.5,93.32,0.559,"PCL1000 + HDI + KA(主链), R=1.00, 无额外交联"
R02,PCL1000-HDI-KC(Main),PCL,PCL1000,HDI,KC,Main,High Hard,0.58,0.048,0.072,0.3,1.0,15.14,729.5,93.76,0.555,"PCL1000 + HDI + KC(主链), R=1.00, 无额外交联"
R03,PCL1000-MDI-KA(Main),PCL,PCL1000,MDI,KA,Main,Low Hard,0.66,0.08,0.12,0.14,1.0,11.3,683.9,88.43,0.376,"PCL1000 + MDI + KA(主链), R=1.00, 无额外交联"
R04,PCL1000-HDI-KA(Main),PCL,PCL1000,HDI,KA,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,13.68,789.3,95.44,0.575,"PCL1000 + HDI + KA(主链), R=1.00, 无额外交联"
R05,PCL1000-HDI-KC(Main),PCL,PCL1000,HDI,KC,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,12.6,790.4,95.97,0.571,"PCL1000 + HDI + KC(主链), R=1.00, 无额外交联"
R06,PCL2000-MDI-KC(Main),PCL,PCL2000,MDI,KC,Main,High Hard,0.5,0.064,0.096,0.34,1.0,39.64,840.4,68.34,0.545,"PCL2000 + MDI + KC(主链), R=1.00, 无额外交联"
R07,PCL2000-MDI-KC(Main),PCL,PCL2000,MDI,KC,Main,High Hard,0.58,0.048,0.072,0.3,1.0,34.45,776.1,67.78,0.553,"PCL2000 + MDI + KC(主链), R=1.00, 无额外交联"
R08,PCL2000-HDI-KA(Main),PCL,PCL2000,HDI,KA,Main,Low Hard,0.66,0.08,0.12,0.14,1.0,18.94,821.3,78.46,0.418,"PCL2000 + HDI + KA(主链), R=1.00, 无额外交联"
R09,PCL2000-HDI-KA(Main),PCL,PCL2000,HDI,KA,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,27.87,943.2,76.99,0.618,"PCL2000 + HDI + KA(主链), R=1.00, 无额外交联"
R10,PCL2000-HDI-KC(Main),PCL,PCL2000,HDI,KC,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,26.71,944.2,77.6,0.614,"PCL2000 + HDI + KC(主链), R=1.00, 无额外交联"
R11,PTMG1000-IPDI-KA(Main),PTMG,PTMG1000,IPDI,KA,Main,High Hard,0.58,0.048,0.072,0.3,1.0,22.34,786.1,95.48,0.635,"PTMG1000 + IPDI + KA(主链), R=1.00, 无额外交联"
R12,PTMG1000-IPDI-KC(Main),PTMG,PTMG1000,IPDI,KC,Main,High Hard,0.58,0.048,0.072,0.3,1.0,20.79,787.2,95.38,0.624,"PTMG1000 + IPDI + KC(主链), R=1.00, 无额外交联"
R13,PTMG1000-MDI-KA(Main),PTMG,PTMG1000,MDI,KA,Main,Low Hard,0.74,0.048,0.072,0.14,1.0,10.23,596.5,83.29,0.378,"PTMG1000 + MDI + KA(主链), R=1.00, 无额外交联"
R14,PTMG1000-IPDI-KA(Main),PTMG,PTMG1000,IPDI,KA,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,18.64,822.1,98.3,0.638,"PTMG1000 + IPDI + KA(主链), R=1.00, 无额外交联"
R15,PTMG1000-IPDI-KC(Main),PTMG,PTMG1000,IPDI,KC,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,17.03,823.2,98.3,0.627,"PTMG1000 + IPDI + KC(主链), R=1.00, 无额外交联"
R16,PTMG2000-IPDI-KA(Main),PTMG,PTMG2000,IPDI,KA,Main,High Hard,0.58,0.048,0.072,0.3,1.0,32.36,900.3,74.59,0.621,"PTMG2000 + IPDI + KA(主链), R=1.00, 无额外交联"
R17,PTMG2000-HDI-KA(Main),PTMG,PTMG2000,HDI,KA,Main,High Hard,0.58,0.048,0.072,0.3,1.0,32.14,873.7,73.1,0.601,"PTMG2000 + HDI + KA(主链), R=1.00, 无额外交联"
R18,PTMG2000-IPDI-KA(Main),PTMG,PTMG2000,IPDI,KA,Main,Low Hard,0.74,0.048,0.072,0.14,1.0,15.64,786.8,74.92,0.432,"PTMG2000 + IPDI + KA(主链), R=1.00, 无额外交联"
R19,PTMG2000-IPDI-KA(Main),PTMG,PTMG2000,IPDI,KA,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,29.48,947.5,77.31,0.633,"PTMG2000 + IPDI + KA(主链), R=1.00, 无额外交联"
R20,PTMG2000-IPDI-KC(Main),PTMG,PTMG2000,IPDI,KC,Main,Mid Hard,0.58,0.064,0.096,0.26,1.0,27.86,948.5,77.41,0.622,"PTMG2000 + IPDI + KC(主链), R=1.00, 无额外交联"
